#{"t_start": 1779736514.126843, "env_id": "PandaPush-v3"}
r,l,t
-3.951542,50,311.403992
-3.681083,50,312.46624
-6.271322,50,313.559733
-8.283421,50,314.621984
-3.287067,50,315.731096
-3.332933,50,316.777726
-2.786105,50,317.839982
-3.289756,50,318.886606
-4.961212,50,320.011344
-5.246177,50,321.136092
-6.342179,50,322.167084
-5.485149,50,323.260583
-5.928789,50,324.322832
-5.168158,50,325.353836
-0.020407,1,325.369494
-3.067077,50,326.478572
-0.027653,1,326.509814
-5.880573,50,327.634557
-4.32051,50,328.696801
-4.023171,50,329.759057
-4.539339,50,330.82131
-4.92485,50,331.867932
-2.93725,50,332.992671
-5.048635,50,334.054922
-5.389163,50,335.132792
-2.88277,50,336.241904
-2.657399,50,337.335397
-6.325631,50,338.444517
-4.510651,50,339.55363
-2.814101,50,340.631538
-4.06663,50,341.740651
-3.230225,50,342.88097
-0.045997,1,342.912211
-0.037097,1,342.927839
-3.525133,50,344.02133
-2.667033,50,345.099202
-0.038115,1,345.146137
-0.033822,1,345.161686
-5.694302,50,346.286421
-0.048306,1,346.317663
-2.834648,50,347.426783
-3.782427,50,348.504656
-4.301385,50,349.58252
-4.802422,50,350.691641
-3.041798,50,351.753887
-4.646514,50,352.800521
-0.032326,1,352.831761
-4.824754,50,353.878392
-6.369666,50,355.049992
-4.680324,50,356.143481
-5.123984,50,357.221352
-3.868085,50,358.299224
-3.30145,50,359.361478
-3.454761,50,360.470588
-0.032728,1,360.486208
-3.662202,50,361.595328
-5.686665,50,362.673201
-4.057277,50,363.844797
-2.602843,50,364.938294
-3.606842,50,366.000541
-0.038331,1,366.031784
-5.197159,50,367.109654
-4.773156,50,368.218769
-6.331385,50,369.327886
-2.835397,50,370.421381
-4.454018,50,371.499254
-3.234762,50,372.57712
-4.204531,50,373.701857
-4.965425,50,374.779727
-4.175827,50,375.857601
-0.042327,1,375.873222
-2.937415,50,376.982335
-5.268512,50,378.107075
-5.125019,50,379.200578
-5.605832,50,380.278436
-5.526369,50,381.309448
-0.027233,1,381.356308
-4.953949,50,382.418564
-0.025086,1,382.449805
-3.445178,50,383.480822
-6.04946,50,384.558686
-0.035585,1,384.589927
-4.750381,50,385.699042
-0.011457,1,385.714664
-2.834929,50,386.761293
-0.026185,1,386.808151
-4.307286,50,387.839164
-5.283559,50,388.948275
-5.243878,50,390.041768
-6.574315,50,391.104024
-0.046631,1,391.135266
-5.523866,50,392.384971
-3.857053,50,393.556567
-5.50152,50,394.618819
-0.022108,1,394.650061
-4.461914,50,395.806042
-4.146674,50,396.915157
-6.522728,50,397.977406
-5.642591,50,399.133383
-0.048052,1,399.164625
-5.248784,50,400.22688
-4.388316,50,401.304751
-4.562632,50,402.398241
-5.484938,50,403.491734
-5.759423,50,404.56961
-0.031512,1,404.585232
-5.435532,50,405.678724
-4.697155,50,406.787839
-4.640316,50,407.865709
-5.114532,50,408.959198
-4.77543,50,410.037079
-5.07441,50,411.114946
-6.070445,50,412.161578
-4.810744,50,413.255066
-5.036761,50,414.332942
-0.036739,1,414.364183
-4.825858,50,415.457677
-0.0388,1,415.473295
-4.711753,50,416.613656
-5.24611,50,417.691526
-4.50653,50,418.785021
-4.67705,50,419.940995
-3.718487,50,421.081353
-0.039919,1,421.112596
-5.19732,50,422.159225
-2.928166,50,423.252717
-4.481218,50,424.54929
-4.248872,50,429.704328
-0.025815,1,429.751203
-3.096484,50,430.782202
-3.037682,50,431.86007
-4.993775,50,433.031672
-4.78286,50,434.093921
-6.540374,50,435.203036
-5.170364,50,436.280907
-4.172587,50,437.374399
-4.325562,50,438.436656
-2.732553,50,439.514527
-4.735376,50,440.576773
-4.171466,50,441.607784
-6.68588,50,442.685656
-4.585659,50,443.763529
-3.334351,50,444.794534
-3.075904,50,445.934896
-4.58646,50,447.044008
-5.254862,50,448.153122
-6.624807,50,449.199747
-3.369521,50,450.230761
-4.002656,50,451.386751
-0.044718,1,451.417981
-6.389918,50,452.46461
-4.419476,50,453.604963
-2.533024,50,454.760942
-4.027571,50,455.979406
-2.706268,50,457.026072
-4.372206,50,458.119528
-0.023175,1,458.13515
-2.825987,50,459.197401
-2.548174,50,460.369001
-4.787621,50,461.446872
-3.407558,50,462.58723
-4.878588,50,463.727586
-4.469785,50,464.852354
-5.637335,50,465.914572
-4.949132,50,467.054933
-3.176912,50,468.132806
-0.009196,1,468.148427
-0.02817,1,468.179667
-5.308625,50,469.304403
-3.178436,50,470.429139
-3.865786,50,471.553873
-3.693184,50,472.584881
-6.073449,50,473.725239
-2.873317,50,474.771868
-3.630725,50,475.912224
-0.015018,1,475.943465
-4.186558,50,477.02134
-5.085172,50,478.177321
-3.725622,50,479.255193
-4.766491,50,480.317439
-4.722164,50,481.442176
-2.858651,50,482.613775
-0.039357,1,482.645017
-2.57911,50,483.70727
-4.987129,50,484.785141
-4.70024,50,485.863015
-6.063158,50,486.925262
-5.330696,50,488.003135
-6.625694,50,489.081007
-4.322488,50,490.174506
-0.047526,1,490.190124
-5.141544,50,491.267995
-0.028356,1,491.283615
-6.503575,50,492.408352
-4.291663,50,493.439363
-4.524942,50,494.548479
-4.75007,50,495.657586
-2.745353,50,496.797943
-4.781739,50,497.8602
-4.215021,50,498.922448
-0.0313,1,498.953693
-0.047197,1,498.96931
-3.935386,50,500.062805
-4.085148,50,501.109447
-3.600768,50,502.234167
-3.636632,50,503.312042
-3.57726,50,504.436775
-5.728318,50,505.65524
-3.618881,50,506.717489
-3.959255,50,507.84223
-3.843686,50,508.951341
-0.034522,1,508.966961
-3.860537,50,510.029215
-4.181872,50,511.091463
-3.965982,50,512.216199
-3.155206,50,513.372179
-5.018726,50,514.450049
-0.045245,1,514.481289
-3.245546,50,515.652892
-4.604015,50,516.715144
-4.555085,50,517.76177
-3.801974,50,518.902126
-0.034647,1,518.917754
-4.727463,50,519.964379
-5.600276,50,521.026636
-6.212532,50,522.120121
-3.971226,50,523.260482
-2.50743,50,524.416457
-5.036874,50,525.494329
-2.873128,50,526.619065
-4.609722,50,527.712564
-4.24074,50,528.75919
-4.414521,50,529.837063
-0.022186,1,529.852681
-4.269788,50,530.977416
-2.666266,50,532.055291
-6.569638,50,533.11754
-4.964772,50,534.27352
-5.062807,50,535.398253
-6.374086,50,536.460505
-4.695261,50,537.553998
-3.565239,50,538.616251
-3.485561,50,539.756603
-4.696314,50,540.818854
-3.343972,50,541.95921
-6.428814,50,543.005842
-4.45432,50,544.099337
-4.548616,50,545.239711
-5.397421,50,546.442533
-3.759574,50,547.567273
-0.022317,1,547.598512
-3.923819,50,548.692005
-0.040331,1,548.723276
-4.36816,50,549.847985
-4.705658,50,550.9571
-5.45803,50,552.113082
-3.395229,50,553.159709
-0.047379,1,553.175328
-4.943015,50,554.284441
-3.584461,50,555.440427
-3.58309,50,556.612025
-3.198871,50,557.767999
-3.048624,50,558.861499
-0.047462,1,558.877113
-3.1079,50,560.01747
-2.942442,50,561.110967
-4.030204,50,562.235704
-4.308028,50,563.344814
-5.377085,50,564.422686
-5.573873,50,565.51618
-4.736954,50,566.656537
-4.448411,50,567.765686
-6.854145,50,568.874765
-0.011988,1,568.890386
-5.293349,50,570.155714
-6.030205,50,571.23359
-3.334596,50,572.327079
-4.814019,50,573.404988
-3.096846,50,574.607792
-4.366249,50,575.654422
-4.942244,50,576.779162
-2.648465,50,577.841409
-3.17478,50,578.934906
-0.029345,1,578.950527
-3.595496,50,580.059643
-3.67358,50,581.168751
-4.635946,50,582.262246
-6.426173,50,583.386981
-3.44868,50,584.511721
-2.503982,50,585.589589
-0.041861,1,585.605211
-5.604768,50,586.698704
-0.015408,1,586.72995
-0.015762,1,586.761194
-0.044382,1,586.792448
-5.169528,50,587.948414
-3.949292,50,589.010661
-6.61549,50,590.088535
-4.549045,50,591.182026
-6.067667,50,592.228659
-4.400959,50,593.369012
-0.040671,1,593.384634
-4.718443,50,594.493755
-3.695375,50,595.587246
-4.989973,50,596.665146
-4.235512,50,597.664882
-6.382931,50,598.727145
-3.258914,50,599.805
-3.558569,50,600.851629
-6.057238,50,601.898263
-3.552886,50,602.976133
-0.034678,1,602.991752
-3.364622,50,604.085245
-0.028748,1,604.100867
-2.848032,50,605.194363
-5.84533,50,606.225371
-5.543459,50,607.334481
-4.743908,50,608.474837
-0.04411,1,608.506084
-3.389739,50,609.552714
-4.967056,50,610.614962
-3.296499,50,611.78656
-0.049489,1,611.802222
-5.38436,50,612.926917
-4.348487,50,614.004791
-2.814131,50,615.176394
-6.716834,50,616.301125
-0.014732,1,616.316747
-4.204969,50,617.394618
-5.804229,50,618.425628
-5.203548,50,619.51912
-4.002498,50,620.64386
-4.839228,50,621.768591
-6.149472,50,622.846463
-0.016077,1,622.862103
-4.096534,50,623.908717
-4.778438,50,625.017828
-4.533474,50,626.189428
-3.25313,50,627.361028
-0.049671,1,627.39227
-3.960836,50,628.4389
-4.144094,50,629.548016
-4.703404,50,630.641507
-4.175353,50,631.735004
-0.021292,1,631.766243
-5.301866,50,632.781632
-0.04404,1,632.812876
-6.653958,50,633.890748
-4.506447,50,634.937377
-5.638558,50,636.030866
-3.594352,50,637.155602
-4.930868,50,638.233516
-3.180894,50,639.280103
-4.705759,50,640.326732
-4.514779,50,641.388983
-0.029844,1,641.420226
-4.603697,50,642.513724
-6.010972,50,643.591592
-4.404955,50,644.653842
-4.78281,50,645.747335
-5.476971,50,646.809591
-3.6097,50,647.903078
-0.026043,1,647.934321
-4.140394,50,652.308299
-3.789259,50,653.479894
-3.725477,50,654.651492
-4.716399,50,655.713749
-0.04263,1,655.744986
-6.412754,50,656.838483
-0.045359,1,656.869755
-5.719405,50,657.94762
-3.850704,50,658.994226
-2.946413,50,660.087715
-2.820047,50,661.228075
-4.499384,50,662.290329
-0.017977,1,662.305949
-0.02924,1,662.337193
-3.11939,50,663.430685
-4.966245,50,664.680392
-3.524939,50,665.758265
-3.768293,50,666.929859
-0.028843,1,666.945484
-5.878194,50,667.976489
-3.311558,50,669.085606
-5.005572,50,670.241581
-5.74611,50,671.335082
-3.827616,50,672.491055
-0.029405,1,672.522299
-3.87502,50,673.647031
-4.881106,50,674.771773
-3.37558,50,675.927745
-3.51017,50,677.052518
-2.794546,50,678.177221
-5.027726,50,679.27071
-0.048751,1,679.301957
-4.598572,50,680.317341
-0.047438,1,680.348585
-2.576095,50,681.551428
-0.028485,1,681.567055
-4.817087,50,682.660539
-5.025603,50,683.754035
-0.024371,1,683.785274
-4.502242,50,684.910015
-0.029108,1,684.941255
-0.032778,1,684.972501
-4.584024,50,686.331556
-2.838878,50,687.425062
-3.85958,50,688.549784
-3.5642,50,689.627657
-4.395643,50,690.705528
-5.131563,50,691.814641
-7.529105,50,692.908137
-3.800722,50,694.095355
-2.730449,38,694.95453
-5.233273,50,696.04802
-5.714252,50,697.141512
-4.54344,50,698.235007
-5.289902,50,699.250398
-0.035986,1,699.266017
-5.176075,50,700.312649
-4.858839,50,701.453
-4.313074,50,702.499636
-3.551019,50,703.593126
-3.301306,50,704.702238
-4.560512,50,705.764489
-5.134031,50,706.82674
-4.867248,50,707.935853
-3.685905,50,709.013726
-4.68879,50,710.138466
-2.972135,50,711.169472
-2.108652,31,711.85681
-3.724929,50,712.965923
-3.685377,50,714.075037
-4.971244,50,715.199773
-0.042465,1,715.215394
-5.36559,50,716.246404
-4.566031,50,717.402386
-0.047515,1,717.418008
-4.256882,50,718.542736
-3.214386,50,719.636229
-5.799641,50,720.682862
-3.521123,50,721.807596
-4.83097,50,722.838602
-4.207182,50,723.994618
-3.664121,50,725.072452
-0.044025,1,725.088078
-3.953574,50,726.181568
-4.153544,50,727.337546
-5.44928,50,728.415418
-3.932385,50,729.493289
-5.273807,50,730.633647
-3.921205,50,731.852115
-2.999883,50,732.976846
-4.671379,50,734.101583
-3.019057,50,735.210701
-6.353487,50,736.241704
-3.817668,50,737.288339
-0.049723,1,737.319579
-0.044149,1,737.335201
-5.489744,50,738.491179
-4.880367,50,739.631533
-4.231005,50,740.725039
-4.561783,50,741.865383
-6.055461,50,743.177579
-0.049616,1,743.224441
-4.717734,50,744.349176
-4.453476,50,745.458289
-6.060761,50,746.614268
-7.759348,50,747.707761
-4.109655,50,748.754391
-3.91161,50,749.847925
-4.973841,50,750.878892
-5.187074,50,752.019248
-4.361824,50,753.128363
-6.260027,50,754.299968
-3.077047,50,755.346596
-4.287052,50,756.502575
-6.16895,50,757.502337
-0.025946,1,757.517959
-4.985258,50,758.627075
-4.182671,50,759.720566
-3.736445,50,760.876543
-2.615876,50,761.970036
-4.64884,50,763.126016
-3.523815,50,764.219508
-0.042333,1,764.235129
-5.374053,50,765.297382
-3.774116,50,766.328391
-1.798909,26,766.890757
-4.906449,50,768.031113
-3.08057,50,769.15585
-4.173748,50,770.171242
-4.622676,50,771.264732
-6.403089,50,772.358226
-0.01269,1,772.373847
-0.04296,1,772.389469
-5.053062,50,773.451719
-5.56003,50,774.545212
-5.288069,50,775.6387
-5.355257,50,776.700953
-4.483945,50,777.856929
-0.026731,1,777.872552
-3.576168,50,778.950428
-5.214128,50,780.043916
-5.027669,50,781.090549
-0.044668,1,781.106173
-2.791168,50,782.19966
-0.042976,1,782.230944
-3.985284,50,783.293154
-4.770065,50,784.433511
-4.133183,50,785.542625
-2.719035,50,786.620535
-5.565006,50,787.776475
-4.465329,50,788.854347
-4.067153,50,789.947846
-3.632904,50,791.025713
-0.034385,1,791.056956
-3.23994,50,792.103587
-0.049205,1,792.13483
-6.061322,50,793.306426
-3.438121,50,794.478025
-0.048122,1,794.493649
-4.982191,50,795.555904
-4.747099,50,796.64939
-0.029597,1,796.680637
-4.539189,50,797.664777
-0.042327,1,797.69602
-5.102981,50,798.773906
-0.031603,1,798.805139
-4.620906,50,799.914249
-3.04836,50,800.976503
-3.091419,50,802.069996
-6.110133,50,803.163491
-0.013016,1,803.194732
-6.088271,50,804.303844
-4.034067,50,805.366102
-3.1429,50,806.506451
-0.008099,1,806.522075
-4.145987,50,807.599948
-0.048814,1,807.631186
-4.091247,50,808.740304
-5.206563,50,809.802553
-3.677858,50,810.880422
-3.76827,50,811.989537
-3.331178,50,813.083035
-0.041348,1,813.114276
-3.909523,50,814.207768
-4.919469,50,815.270052
-0.016109,1,815.301267
-0.043802,1,815.332502
-4.155405,50,816.457238
-5.254997,50,817.550732
-5.238096,50,818.628603
-5.372427,50,819.70648
-0.014018,1,819.737719
-5.298534,50,820.831214
-0.037339,1,820.862485
-4.786495,50,821.924706
-5.329668,50,823.018198
-3.880713,50,824.04921
-2.707702,50,825.205188
-3.200556,50,826.329923
-3.262373,50,827.454656
-2.629152,50,828.728984
-3.610092,50,830.08343
-0.039833,1,830.103814
-0.028507,1,830.123413
-4.292085,50,831.328573
-0.032307,1,831.368768
-5.421756,50,832.53357
-0.041823,1,832.553698
-5.378652,50,833.97851
-0.026459,1,834.00387
-6.313593,50,835.177307
-3.120832,50,836.39339
-4.407801,50,837.672972
-3.083072,50,838.938727
-5.953163,50,840.092849
-3.49529,50,841.283773
-0.047375,1,841.306394
-3.151438,50,842.548611
-5.210289,50,843.730555
-3.178375,50,844.908675
-3.563887,50,846.133692
-4.394481,50,847.303442
-0.045994,1,847.322067
-5.758487,50,848.367128
-0.033946,1,848.37921
-0.030215,1,848.417526
-0.040958,1,848.437666
-3.186912,50,849.506652
-3.1158,50,850.635228
-3.521247,50,851.670059
-0.021978,1,851.701308
-0.042256,1,851.716928
-4.057627,50,852.794798
-0.024593,1,852.826039
-4.406008,50,853.903914
-6.135559,50,854.981786
-2.883488,50,856.075279
-0.049189,1,856.106521
-3.534439,50,857.13754
-4.169785,50,858.231022
-3.467649,50,859.324516
-4.823923,50,860.418009
-3.245128,50,861.480254
-3.170332,50,862.558129
-3.168004,50,863.604761
-3.626222,50,864.742765
-0.049203,1,864.758385
-4.031579,50,865.83626
-6.417292,50,867.039099
-5.065215,50,868.215326
-4.137477,50,869.246334
-3.902634,50,870.319234
-5.290482,50,871.397103
-5.493343,50,872.4906
-4.187483,50,873.568468
-0.032221,1,873.584091
-0.019144,1,873.615373
-0.049959,1,873.662196
-6.118772,50,878.129901
-0.047067,1,878.161139
-3.382666,50,879.223395
-4.537638,50,880.285641
-3.500487,50,881.363514
-3.805263,50,882.488251
-6.345497,50,883.550502
-6.485405,50,884.612789
-4.115595,50,885.737485
-5.851999,50,886.768495
-5.578501,50,887.861988
-4.468203,50,888.971105
-3.725932,50,890.033354
-4.823872,50,891.142466
-0.029378,1,891.158088
-4.055315,50,892.314069
-2.786771,50,893.329456
-3.718081,50,894.469813
-0.03273,1,894.501057
-4.8693,50,895.62579
-2.854461,50,896.734903
-3.57867,50,897.890881
-5.229431,50,898.937528
-6.074723,50,899.999763
-3.113226,50,901.124497
-4.224129,50,902.218023
-4.664036,50,903.358351
-3.3984,50,904.467464
-3.727457,50,905.560956
-4.54876,50,906.685725
-3.826147,50,907.747944
-3.41224,50,908.91954
-4.37591,50,910.091141
-4.066421,50,911.15339
-4.990757,50,912.231263
-2.502257,50,913.309137
-4.992554,50,914.402628
-5.660897,50,915.464877
-3.47355,50,916.511507
-2.659649,50,917.57376
-3.251071,50,918.589145
-2.968069,50,919.713884
-0.025144,1,919.729515
-0.035183,1,919.760747
-5.259936,50,920.822997
-0.04425,1,920.85424
-5.603757,50,921.916489
-5.076885,50,923.072466
-4.094473,50,924.212823
-5.163442,50,925.337562
-3.041216,50,926.462294
-0.020054,1,926.493541
-5.069645,50,927.602651
-4.204992,50,928.711767
-3.604626,50,929.80526
-3.531293,50,930.945619
-6.035138,50,932.054735
-0.033443,1,932.070357
-3.820806,50,933.195089
-0.023015,1,933.226334
-2.986109,50,934.257343
-5.061845,50,935.366453
-3.0183,50,936.491194
-5.235831,50,937.647172
-4.728629,50,938.771904
-5.337757,50,939.849775
-3.942041,50,940.943272
-0.04588,1,940.974517
-5.220146,50,942.068007
-3.098318,50,943.208362
-4.270654,50,944.286237
-0.042456,1,944.333112
-0.029682,1,944.34872
-5.13017,50,945.442213
-3.443291,50,946.770028
-3.504854,50,947.844672
-5.296832,50,949.047515
-3.634368,50,950.625268
-0.020478,1,950.64089
