#{"t_start": 1779724689.290449, "env_id": "PandaPush-v3"}
r,l,t
-0.032728,1,466.197222
-3.662202,50,468.011581
-5.686795,50,469.889333
-4.057277,50,471.708407
-2.602843,50,473.487849
-3.606728,50,475.310538
-0.03833,1,475.367383
-5.196692,50,477.180331
-4.773156,50,478.969326
-6.331385,50,480.804295
-2.835397,50,482.681669
-4.454018,50,484.41488
-3.234762,50,486.17733
-4.204859,50,487.998375
-4.965425,50,489.799626
-4.175827,50,491.574558
-0.042327,1,491.601988
-2.937503,50,493.339404
-5.268512,50,495.065503
-5.125212,50,496.780388
-5.60556,50,498.539121
-5.525962,50,500.264377
-0.027233,1,500.312628
-4.953949,50,502.043441
-0.025086,1,502.091191
-3.445177,50,503.840567
-6.049524,50,505.716303
-0.035585,1,505.758927
-4.750397,50,507.907458
-0.011457,1,507.938911
-2.834929,50,509.732279
-0.026185,1,509.763287
-4.307288,50,511.718876
-5.283559,50,513.510891
-5.243878,50,515.253552
-7.025192,50,517.176446
-0.046635,1,517.243524
-5.523803,50,518.817803
-6.601284,50,520.229763
-5.499895,50,521.443131
-0.022106,1,521.467319
-4.461914,50,522.685469
-4.146604,50,523.919346
-8.630471,50,525.144132
-5.640655,50,526.324723
-0.048059,1,526.348997
-5.834869,50,527.546783
-4.546133,50,528.619568
-4.564484,50,529.65236
-5.995511,50,530.749755
-5.759301,50,531.838292
-0.03151,1,531.85837
-5.436261,50,532.929776
-4.697155,50,533.968815
-4.640316,50,535.002464
-5.114531,50,536.065765
-4.775457,50,537.0977
-5.07441,50,538.152772
-6.049736,50,539.229478
-4.812345,50,540.287672
-5.036066,50,541.356294
-0.036739,1,541.378532
-4.825858,50,542.468663
-0.0388,1,542.497696
-4.711753,50,543.548157
-5.24611,50,544.614373
-4.506528,50,545.683369
-4.677057,50,546.693643
-3.718487,50,547.738753
-0.039919,1,547.768737
-5.78883,50,548.862121
-2.927787,50,549.894914
-4.480098,50,550.973386
-4.246928,50,552.025666
